condition,category,supplements,pmids,demographics
Strength,Musculoskeletal & Pain; Performance & Recovery,Ashwagandha; Beetroot (Nitrate); Betaine; Choline; Creatine; L-Arginine; Melatonin; Probiotic (Akkermansia); Probiotics (Lactobacillus); Rhodiola Rosea,22080324; 32516959; 33600918; 34209617; 34477469; 34663363; 36432445; 36519333; 36812477; 37206869; 37409757; 37630756; 37764658; 38140393; 38646853; 38732571; 38747788; 38931275; 38988644; 39545789; 39683431; 39849681; 40010353; 40104233; 40553891,Basketball Players; CrossFit Athletes; Firefighters; Men; Menopause; Menustration; Multiple Sclerosis; Older Adults; Soccer Players; Sprinting; Women
Hypothyroidism,Metabolic Health,Ashwagandha,28829155,
Improve Memory,Cognitive & Neurological Function,Ashwagandha; Boswellia; L-Carnitine; L-Theanine; L-Tyrosine; Lavender; Lutein; Phosphatidylserine; Zeaxanthin,20523044; 21103402; 21303262; 21711517; 24577097; 25414047; 27403851; 28471731; 28695791; 29306113; 30950580; 32133585; 34736874; 35126747; 36043711; 37447152; 40099725,CKD; Hemodialysis; Multiple Sclerosis; Older Adults; Women
COVID-19,"Immune, Inflammation, & Infection",Ashwagandha; Boron; Curcumin; Ginger; L-Arginine; L-Carnitine; N-Acetylcysteine (NAC); Resveratrol; Vitamin A,35183882; 35768453; 35997951; 36205206; 36804278; 37405379; 37482107; 38215974; 38915116; 40301181; 40841392,
Improve Sexual Function,Women's Health,Ashwagandha; L-Arginine; Lavender; Maca; Panax ginseng; Saffron,18801111; 26504795; 33216632; 36603110; 38408971; 38745327; 39214150,Depression
Wrinkles,"Skin, Hair, & Nails",Astaxanthin; Lemon Balm,22428137; 39888701,
Exercise-Induced Inflammation,Performance & Recovery,Astaxanthin,39568140,
Dementia Prevention,Healthy Aging & Prevention,Astaxanthin; Docosahexaenoic acid (DHA),21276280; 37874103; 38952108; 40044083,Older Adults
Arterial Stiffness,Heart & Vascular Health,Astaxanthin; Creatine; L-Citrulline; Panax ginseng; Taurine; Vitamin K2,19091127; 20134405; 21067832; 27163699; 28756183; 39047868,Kidney Transplant; Men; Older Adults
Hypertension,Heart & Vascular Health,Astaxanthin; Beetroot (Nitrate); Docosahexaenoic acid (DHA); Eicosapentaenoic acid (EPA); Grape seed extract; L-Arginine; L-Citrulline; Magnesium; Nicotinamide Riboside; Panax ginseng; Taurine; Vitamin B2 (Riboflavin); Vitamin C,11978148; 19608210; 19851298; 21154265; 22277556; 23467207; 23608654; 24997863; 25636814; 26023227; 26568249; 26781281; 26863234; 27160957; 29599478; 29683391; 30735073; 31987113; 32147072; 33132345; 33498220; 33513929; 33671310; 33905304; 34004448; 34371972; 34990772; 35903950; 36297080; 36615732; 37664994; 37938096; 38931289; 39209360; 39380547; 40341867,Diabetes Type 2; Heart Failure; Men; Menopause; Obese; Older Adults; Overweight; Women
Diabetes Type 2,"Immune, Inflammation, & Infection",Astaxanthin,33445213,
Overweight,Heart & Vascular Health,Astaxanthin,21964877,
Low HDL,Heart & Vascular Health,Astaxanthin; Choline; Docosahexaenoic acid (DHA); Grape seed extract; Hibiscus; Vitamin B3 (Niacin),19678781; 19892350; 19962289; 25528430; 27191247; 27891663; 35334836; 36522805; 36982461,
Low LDL,Heart & Vascular Health,Astaxanthin,37874168; 38916710; 39482765,PCOS; Poor Ovarian Response
PCOS ; Women,Women's Health,Astaxanthin,37020589,
Infertility,"Immune, Inflammation, & Infection; Men's Health; Women's Health",Astaxanthin; Coenzyme Q10; Inositol; L-Carnitine; Maca; Melatonin; N-Acetylcysteine (NAC); Resveratrol; Vitamin E; Zinc,16110353; 31657275; 32572802; 32654242; 35237893; 35856361; 38103848; 38597704; 38957201; 38987824; 39415242; 39780224; 39891146; 40248985,PCOS; Poor Ovarian Reserve; Women
Muscle Endurance,Performance & Recovery,Astaxanthin; Beetroot (Nitrate); Beta-alanine; Betaine; Creatine; Eicosapentaenoic acid (EPA); L-Citrulline; Phosphatidylserine; Taurine,19585317; 20499249; 21747291; 21984399; 23746562; 26097441; 26900386; 28349262; 28513179; 29549523; 30260740; 30847640; 31860534; 32660833; 34110707; 36432445; 36501070; 37125500; 37229544; 37686724; 39401344; 39972259; 40010353; 40218864; 40469872; 40470618,Basketball Players; Cycling; Men; Older Adults; Soccer Players; Sprinting
Mental Fatigue,"Energy, Mood, & Mental Health",Astaxanthin; Rhodiola Rosea,10839209; 12725561; 29495607; 40289957,
Exercise Induced Inflammation,"Immune, Inflammation, & Infection; Performance & Recovery",Astaxanthin; Beta-alanine; Betaine; Boswellia; Choline; Curcumin; Hibiscus; Rhodiola Rosea; Saffron,19478343; 22331521; 22828460; 23192897; 27736246; 27879642; 29746388; 34769925; 34959789; 35001410; 36501070; 40781899,Athletes; Diabetes Type 2; Football Players; Men; Military Training; Obese; Rowers; Soccer Players
Older Adults,"Immune, Inflammation, & Infection",Astaxanthin,21897013; 23192897; 30379308; 34611051,Soccer Players
Smokers,"Immune, Inflammation, & Infection",Astaxanthin,21883001,
Oxidative Stress,"Immune, Inflammation, & Infection",Astaxanthin; Coenzyme Q10; Grape seed extract; L-Arginine; Melatonin; Resveratrol; Rhodiola Rosea; Taurine; Vitamin B1 (Thiamine); Vitamin C; Vitamin D; Vitamin E,14564675; 19478343; 27481232; 28074795; 28580833; 35700594; 36571754; 36624951; 36854788; 37108584; 38419408; 39036884; 39519608; 39993913; 39999976; 40290059; 40389645; 40871671,Diabetes Type 2; Fatty Liver Disease; Heart Failure; Menopause; Night Shift Workers; Older Adults; PCOS; Rowers; Smokers; Women
Hand-Eye Coordination,Performance & Recovery,Astaxanthin; Lutein; Zeaxanthin,36986186,
Skin Elasticity,"Skin, Hair, & Nails",Astaxanthin; Hibiscus,24955642; 40806423,
Insomnia,Sleep,Astaxanthin; Lavender; Magnesium; Melatonin,28019085; 36270928; 38745424; 38764237; 39279257; 39304187; 39437460; 39534260; 39630381,Cancer; Parkinson's Disease; Postoperative
Gastric Reflux,Gut Health,Astaxanthin; Chondroitin; Probiotics (Bifidobacterium); Probiotics (Lactobacillus),18467083; 28116754; 38337627; 38674920; 38892690,
Rheumatoid Arthritis,"Immune, Inflammation, & Infection; Musculoskeletal & Pain",Astaxanthin; Chromium; Coenzyme Q10; Curcumin; Garlic; Saffron; Selenium,31392559; 32048365; 32159257; 37306592; 37477848; 38699839; 39030450; 40569081,Women
Improve Emotional Function,Cognitive & Neurological Function,Bacopa Monnieri,36800346,Parkinson's Disease
Memory,Cognitive & Neurological Function,Bacopa Monnieri; Fenugreek,12093601; 20590480; 36199177,Alzheimer's Disease; Older Adults
Cold Extremities,"Skin, Hair, & Nails",Beetroot (Nitrate); Ginger,34814768; 36305974,
Inflammation,"Heart & Vascular Health; Immune, Inflammation, & Infection",Beetroot (Nitrate); Boswellia; Choline; Chondroitin; Coenzyme Q10; Curcumin; Docosahexaenoic acid (DHA); Eicosapentaenoic acid (EPA); Garlic; Glucosamine; Glycine; Hibiscus; L-Carnitine; Lutein; Nicotinamide Riboside; Panax ginseng; Resveratrol; Saffron; Taurine; Vitamin C; Vitamin D,19765963; 21699953; 25719429; 27412799; 29576354; 30683061; 31412242; 31797473; 32544011; 32798261; 33066009; 33303222; 33316626; 34255136; 35975308; 36342289; 36421994; 36624951; 36752775; 37121179; 37986526; 38747270; 39343544; 39546036; 39565038; 40187667; 40290059; 40389645; 40400479; 40508019; 40871671,Coronary Artery Disease; Diabetes Type 2; Fatty Liver Disease; Multiple Sclerosis; Obese; Older Adults; Overweight; Sickle Cell Disease; Systemic Lupus Erythematosus; Women
Long COVID,"Immune, Inflammation, & Infection",Beetroot (Nitrate); Creatine; L-Arginine,36501014; 36982151; 38099612; 38684388; 39940991,COVID
High Insulin,Metabolic Health,Beetroot (Nitrate); Docosahexaenoic acid (DHA); Hibiscus; Inositol; L-Carnitine; Magnesium; Nicotinamide mononucleotide; Panax ginseng; Vitamin B3 (Niacin); Vitamin D; Vitamin E,15330492; 16860976; 17315307; 18685605; 20018807; 25446600; 26234931; 26289514; 26600645; 29311704; 30482933; 30764582; 32018040; 32563863; 33810049; 33888596; 33892722; 33928619; 34047916; 34727201; 35291435; 38257142; 38931296; 39202546; 39511203; 39718613; 39947040; 40019528; 40497345,Diabetes Type 2; Obese; Older Adults; Overweight; PCOS; Poor Ovarian Response; Prediabetes; Women
Muscle Soreness,Performance & Recovery,Beetroot (Nitrate),37686795; 40323707,Climbers; Volleyball Players; Women
Endothelial Function,Heart & Vascular Health,Beetroot (Nitrate); Creatine; Garlic; Glucosamine; L-Citrulline; Panax ginseng; Probiotics (Bifidobacterium); Resveratrol; Taurine; Vitamin B12 (Cobalamin); Vitamin B3 (Niacin),12204509; 24758417; 24768191; 26133666; 27648629; 28554988; 29151484; 30280751; 31468418; 32866396; 35276764; 35505122; 35652829; 36476159; 37447275; 37561087; 37686723; 37843843; 37849220; 38892688; 39001718; 39796490; 40089052; 40457872,Alzheimer's Disease; CAD; CKD; Diabetes; HIV; Older Adults
Aerobic Capacity,Performance & Recovery,Beta-alanine; L-Arginine; L-Citrulline; Nicotinamide mononucleotide; Phosphatidylserine; Taurine; Vitamin K2,16394955; 25894892; 26110349; 26255281; 26308179; 26652037; 27434084; 27601217; 28118062; 28121265; 28157726; 28646812; 29246277; 29394491; 29651862; 29713250; 29905904; 30277420; 30307991; 30565426; 30847640; 31144977; 31438535; 31622158; 33092320; 33260139; 33805883; 33815657; 34238308; 34444703; 35215405; 35512767; 35805647; 36294288; 36482258; 39039103; 39064783; 39226288; 39714103; 40010353,Athletes; Basketball Players; Cycling; Endurance Athletes; Heart Failure; Judo; Jumping; Men; Military; Older Adults; Overweight; Sprinting; Taekwondo; Track & Field; Volleyball Players; Water Polo Players; Women
Improve Mood,"Energy, Mood, & Mental Health",Beta-alanine; Lavender; Probiotics (Bifidobacterium); Vitamin C,32138563; 37513541; 38073290; 38128887; 38241803; 38459484,
Increase Pain Perception,Musculoskeletal & Pain,Beta-alanine,34360425,
High LDL,Heart & Vascular Health,Beta-Glucans; Betaine; Chromium; Coenzyme Q10; Fenugreek; Garlic; Grape seed extract; Lemon Balm; Manganese; Panax ginseng; Probiotics (Lactobacillus); Red Yeast Rice; Saffron; Taurine; Vitamin B3 (Niacin); Vitamin B5 (Pantothenic Acid); Vitamin B7 (Biotin); Vitamin E,12967598; 16015250; 17616006; 17684468; 19528562; 19699071; 19786378; 20102918; 20636227; 20980654; 22113535; 22348456; 22531006; 23187951; 23352857; 23437789; 23816039; 23860021; 23866314; 23890351; 23946347; 24488919; 24600231; 25001663; 25432415; 25750540; 25879228; 26374297; 26515419; 26681752; 27055107; 27143594; 27261994; 27405296; 28673363; 28704936; 29154060; 29604599; 30045422; 30150192; 30795775; 30871361; 31226435; 31583253; 31987238; 32696178; 33044768; 33051044; 34496450; 34587702; 35473348; 35606250; 35700592; 37202063; 37375586; 37513556; 38015360; 39203947; 39275232; 40087044,Diabetes Type 2; Myasthenia Gravis; Obese; Older Adults; Overweight; Pregnant; Women
Gastritis,Gut Health,Beta-Glucans; Chondroitin; Probiotics (Bifidobacterium),29796851; 34444949; 38036761,
Increase Flu Vaccine Efficacy,"Immune, Inflammation, & Infection",Beta-Glucans; L-Theanine; Melatonin,19149835; 30770758; 34959898; 39539030,Older Adults
High Blood Glucose,Metabolic Health; Women's Health,Beta-Glucans; Betaine; Blueberry anthocyanins; Chromium; Creatine; Curcumin; Fenugreek; Garlic; Ginger; Grape seed extract; Inositol; L-Arginine; L-Citrulline; Lemon Balm; N-Acetylcysteine (NAC); Panax ginseng; Probiotic (Akkermansia); Probiotics (Bifidobacterium); Resveratrol; Saffron; Selenium; Taurine; Vitamin B3 (Niacin); Vitamin B6 (Pyridoxine); Vitamin B7 (Biotin); Vitamin E; Vitamin K2; Zinc,11868855; 14624282; 14684758; 15982990; 16401645; 17010221; 17109595; 17426742; 17506119; 19646193; 19839001; 19857068; 21619921; 21868771; 24401089; 26063948; 26098483; 26100928; 26358163; 26654154; 27036394; 28304350; 28956671; 29518003; 29860335; 30219475; 30377712; 30548118; 31148988; 31243685; 31447131; 31593637; 31677703; 32147060; 32306991; 32349742; 32408117; 32472292; 32507439; 32579549; 32861603; 32971450; 33053078; 33876875; 34836211; 34883305; 36053717; 36124913; 36169918; 36297065; 37817641; 38024820; 38313181; 38720217; 38747270; 38874882; 38896121; 38972164; 39004031; 39064648; 39085864; 39125340; 39796490; 40326558; 40647269; 40770379,Coronary Slow Flow Phenomenon; Diabetes Type 2; Fatty Liver Disease; Gestational Diabetes; Men; Menopause; Obese; Older Adults; Overweight; PCOS; Prediabetes; Pregnant; Women
High Triglycerides,Heart & Vascular Health; Weight & Body Composition,Beta-Glucans; Chromium; Creatine; Curcumin; Eicosapentaenoic acid (EPA); Hibiscus; Probiotics (Bifidobacterium); Vitamin B3 (Niacin); Vitamin B7 (Biotin),16677798; 22185846; 23529988; 25651367; 25932792; 26679079; 26681758; 26982618; 28391875; 28960312; 30900815; 31277790; 32178279; 33045675; 35871058; 36202740; 36522805; 39051504; 39165011; 39796490,Diabetes Type 2; Obese; Older Adults; Women
Increase COVID Vaccine Efficacy,"Immune, Inflammation, & Infection",Beta-Glucans,34959898,
Exercise Recovery,Performance & Recovery,Betaine; Creatine; Docosahexaenoic acid (DHA); Eicosapentaenoic acid (EPA); Fenugreek; Iron; L-Carnitine; Panax ginseng; Taurine,21598413; 22976217; 25833543; 30987668; 33044367; 34684429; 38051142; 38542807; 40030077; 40032294; 40507040,Men; Women
Breast Fibroadenoma,Women's Health,Betaine; Boswellia,27212181,Women
Burn Wounds,"Skin, Hair, & Nails",Betaine; Coenzyme Q10,28682677; 38431600,
Hepatitis C,"Immune, Inflammation, & Infection",Betaine,21079746,
Dry Mouth,Oral Health,Betaine; Ginger; Hibiscus; Vitamin E,21950587; 32614361; 34162822; 35950355,Cancer; Diabetes Type 2
Fatty Liver Disease,Gut Health,Betaine; Coenzyme Q10; Curcumin; Eicosapentaenoic acid (EPA); Grape seed extract; Hibiscus; L-Carnitine; Vitamin B12 (Cobalamin),24549255; 24972476; 30217048; 35982162; 36314323; 38755622; 38795741; 38987784; 39948699,Cancer; Fatty Liver Disease; Short Bowel Syndrome
High Homocysteine,Heart & Vascular Health,Betaine; Vitamin B12 (Cobalamin); Vitamin B6 (Pyridoxine),15271145; 15931623; 17272965; 19346114; 26771632; 32918135; 36376887; 36717385; 36889645; 38876040,CKD; Older Adults; Schizophrenia
Muscle Growth,Musculoskeletal & Pain; Performance & Recovery,Betaine; Creatine; Glycine; L-Carnitine; L-Citrulline,29945625; 32516959; 34519439; 34836240; 36960692; 37078370; 37675500; 38474743; 40292479; 40537085; 40743209,CKD; CrossFit Athletes; Hemodialysis; Pemphigus Vulgaris
Diabetic Foot Ulcers,"Skin, Hair, & Nails",Boron,37421808,Diabetes
Onychomycosis,"Immune, Inflammation, & Infection",Boron,25226015,
Menstrual Pain,Women's Health,Boron,25906949,Dysmenorrhea; Women
Bloating,Gut Health,Boswellia; Glucosamine; Probiotics (Lactobacillus),34202877; 35276778; 38304947,IBS
Crohn's Disease,Gut Health,Boswellia; Probiotics (Bifidobacterium); Probiotics (Lactobacillus); Vitamin B2 (Riboflavin),11215357; 31873717; 38159563,
Diarrhea,Gut Health,Boswellia; Probiotics (Bifidobacterium); Probiotics (Lactobacillus),35565826; 38519563; 38630015; 38999739,Antibiotic Use; IBS
Acute Musculoskeletal Pain,Musculoskeletal & Pain,Boswellia,36107505,Exercise Induced Pain
Asthma,Respiratory Health,Boswellia; L-Citrulline,26502867; 31714895,Asthma
Colitis,Gut Health,Boswellia,11488449; 17764013,
Chronic Low Back Pain,Musculoskeletal & Pain,Boswellia; Manganese,33568038; 39700654; 39973246,
Traumatic Brain Injury,Cognitive & Neurological Function,Boswellia,24088189; 35385330,
Heavy Menstrual Bleeding,Women's Health,Boswellia,30670277,Women
Pain,Musculoskeletal & Pain,Boswellia; Coenzyme Q10; Curcumin; Magnesium,25298573; 40151031; 40220411,Fibromyalgia
UTI,Kidney & Bladder Health,Boswellia; Chondroitin; Hibiscus; Probiotics (Lactobacillus); Vitamin C,27838537; 29974725; 30362679; 38721680; 39791583; 40162673,
Wound Healing,"Skin, Hair, & Nails",Boswellia; Eicosapentaenoic acid (EPA); Garlic; Grape seed extract,25948437; 29735019; 31490311; 31518044; 32971163; 33590955,
Stress Urinary Incontinence,Women's Health,Boswellia,25225151,Women
Vulvovaginal Candidiasis,Women's Health,Boswellia; Probiotics (Lactobacillus),35751891; 38350486,Women
Improve Bone Density,Musculoskeletal & Pain,Calcium; Inositol; Melatonin; Resveratrol; Vitamin B1 (Thiamine); Vitamin K1; Vitamin K2,10750566; 10874601; 11180916; 11682046; 12003435; 12686368; 14506950; 15616893; 16594930; 17012108; 17243866; 17287908; 18260178; 19352059; 20024591; 20177349; 23702931; 23828145; 23846118; 24136015; 27625301; 32060566; 33835939; 37569440; 39197463; 39804018; 39861392; 40042722; 40329508; 40371216,Anorexia Nervosa; CKD; Cirrhosis; Heart Transplant; Hemodialysis; Lung Transplant; Menopause; Older Adults; Osteoporosis; Rheumatoid Arthritis; Steroid Use; Thalassemia; Women
Tooth Decay,Oral Health,Calcium; Probiotics (Lactobacillus); Resveratrol,39557280; 40147282; 40335196,
Premenstrual Syndrome,Women's Health,Chaste Tree (vitex agnus-castus); Phosphatidylserine; Probiotics (Lactobacillus); Vitamin B1 (Thiamine); Vitamin B6 (Pyridoxine),11129515; 18476391; 19757982; 24604699; 25363099; 29576358; 31928364; 38068843,Menopause; Women
Migraine Headache,Musculoskeletal & Pain,Chaste Tree (vitex agnus-castus); Eicosapentaenoic acid (EPA); L-Carnitine; Melatonin; Vitamin B12 (Cobalamin); Vitamin B2 (Riboflavin); Vitamin B6 (Pyridoxine); Vitamin D,22791378; 25916335; 28526386; 35112219; 38499208; 38751874; 39221580; 40082970; 40360751,
Cardiac Risk,Heart & Vascular Health; Metabolic Health,Choline; Curcumin; Docosahexaenoic acid (DHA); Eicosapentaenoic acid (EPA); Iron; Selenium; Vitamin B3 (Niacin),27407053; 29034644; 29588138; 32722424; 34293124; 34982486; 37179031; 38589346; 39354480; 40393927; 40481568; 40573083; 40759997; 40806137,CKD; Diabetes Type 2; Fatty Liver Disease; Hemodialysis; Obese; Older Adults; Women
Schizophrenia,"Energy, Mood, & Mental Health",Choline; Glycine; L-Theanine; N-Acetylcysteine (NAC); Red Yeast Rice,25896423; 27629871; 27789188; 28602646; 29126981; 29499855; 30921099; 32851421; 33630646; 36927273; 37697164,
Elbow Pain,Musculoskeletal & Pain,Chondroitin,26133944,Lateral Epicondylitis
Temporomandibular Joint Syndrome,Musculoskeletal & Pain; Oral Health,Chondroitin; Glucosamine; Lavender,25662545; 28862770; 29864430; 32893748,
Osteoarthritis,Musculoskeletal & Pain,Chondroitin; Curcumin; Glucosamine,24395557; 25085275; 26178634; 27716158; 28245911; 28657529; 29701488; 30498336; 30648524; 30657100; 39586746,Osteoarthritis
BPH,Kidney & Bladder Health,Coenzyme Q10; L-Carnitine,38105612,
Musculoskeletal Pain,Musculoskeletal & Pain,Coenzyme Q10; Red Yeast Rice; Vitamin C,28521773; 31695332; 39044241; 39739762,Injury; Rotator Cuff Tears; Statin Use
Neuropathic Pain,Musculoskeletal & Pain,Coenzyme Q10; Lavender; Vitamin B2 (Riboflavin),34217127; 35680173; 36273066,Diabetes
Cardiac Function,Heart & Vascular Health,Coenzyme Q10; L-Citrulline; Resveratrol; Taurine,23224924; 31666833; 35381849; 36854725; 38281937,Diabetes Type 2; Heart Failure; Myocardial Infarction
Improve Visual Acuity,Vision & Eye Health,Coenzyme Q10; Garlic; Lutein,28429904; 31781880; 35875346,Alzheimer's Disease; Diabetes; Diabetic Retinopathy
