supplement,contraindications,condition,problem_category,category,category_source,indication_summary,indication_summary_confidence,pmid,year,title,study_design,outcome_direction,notes,doses,demographics,study_categories,source_conditions,original_labels,evidence_tier_study,evidence_tier_confidence,evidence_tier_rationale
5-hydroxytrytophan,adverse events leading to treatment suspension in 4 patients; nausea; nausea in three participants; vomiting,Panic Attacks,,"Energy, Mood, & Mental Health",manual_pair,"The evidence regarding 5-hydroxytryptophan for panic disorder is mixed and unclear, with one study reporting nonsignificant differences in panic rates based on gender at a dose of 200 mg. No studies demonstrated a clear benefit or harm, indicating a lack of consistent efficacy for this indication.",0.7,15260907,2004,The effect of 5-hydroxytryptophan on cholecystokinin-4-induced panic attacks in healthy volunteers.,randomized_controlled_trial,mixed_unclear,"The results showed a nonsignificant difference in panic rates, indicating mixed outcomes based on gender.",200 mg (capsules),,,panic disorder,panic disorder,Tier 4,0.68,"This is a small randomized, double-blind trial in healthy volunteers using a cholecystokinin-4 challenge to induce panic-like symptoms, not a clinical population with spontaneous panic attacks. Overall effects were nonsignificant with only subgroup gender effects. Because the outcome is an experimental model rather than clinical panic attacks, the evidence is indirect and low for the stated indication."
5-hydroxytrytophan,adverse events leading to treatment suspension in 4 patients; nausea; nausea in three participants; vomiting,Sleep Quality,,Sleep,manual_pair,"Human clinical evidence suggests that 5-hydroxytryptophan (5-HTP) may improve sleep quality in certain populations, with two randomized controlled trials reporting beneficial effects at doses of 50 mg to 100 mg daily. However, the evidence is limited to specific groups, and further research is needed to confirm these findings and assess long-term safety and efficacy.",0.8,38309227,2024,The impact of 5-hydroxytryptophan supplementation on sleep quality and gut microbiota composition in older adults: A randomized controlled trial.,randomized_controlled_trial,benefit,"5-HTP supplementation showed a favorable effect on sleep quality, particularly in poor sleepers, indicating a benefit.",100 mg daily 12 weeks,Older Adults,,gut microbiota composition,gut microbiota composition; parkinson's disease; rem sleep behavior disorder; sleep quality,Tier 2,0.67,"Single-blind randomized controlled trial in older adults (n=30) with sleep quality as a primary outcome (PSQI and actigraphy). Shows benefit, particularly in poor sleepers, but limited by small sample size and weaker blinding. Therefore, moderate human evidence for 5-HTP improving sleep quality."
5-hydroxytrytophan,adverse events leading to treatment suspension in 4 patients; nausea; nausea in three participants; vomiting,Sleep Quality,,Sleep,manual_pair,"Human clinical evidence suggests that 5-hydroxytryptophan (5-HTP) may improve sleep quality in certain populations, with two randomized controlled trials reporting beneficial effects at doses of 50 mg to 100 mg daily. However, the evidence is limited to specific groups, and further research is needed to confirm these findings and assess long-term safety and efficacy.",0.8,34403081,2022,"Preliminary finding of a randomized, double-blind, placebo-controlled, crossover study to evaluate the safety and efficacy of 5-hydroxytryptophan on REM sleep behavior disorder in Parkinson's disease.",randomized_controlled_trial,benefit,"5-HTP improved sleep stability and motor experiences in patients, indicating a beneficial effect.",50 mg daily 4 weeks,Parkinson's Disease,,parkinson's disease,gut microbiota composition; parkinson's disease; rem sleep behavior disorder; sleep quality,Tier 3,0.45,"Single small randomized, double-blind, placebo-controlled crossover trial (n=18) in Parkinson’s disease patients with REM sleep behavior disorder. Sleep quality was not the primary outcome and improvements in sleep-related measures (arousal index, wake after sleep onset) were marginal and not statistically significant versus placebo; REM% increased but is a surrogate. Self-reported improvements occurred with both 5-HTP and placebo. Short duration (4 weeks) and narrow population limit generalizability to overall sleep quality."
5-hydroxytrytophan,adverse events leading to treatment suspension in 4 patients; nausea; nausea in three participants; vomiting,Stress,,"Energy, Mood, & Mental Health",manual_pair,"The evidence for 5-hydroxytryptophan in alleviating romantic stress is limited, with one open-label trial reporting significant improvements in stress scores at a dose of 12.8 mg b.i.d. for 6 weeks. No adverse effects were noted, but the overall quality of evidence is low due to the lack of randomized controlled trials and mixed findings in the literature.",0.6,21178946,2010,An open-label trial of L-5-hydroxytryptophan in subjects with romantic stress.,clinical_trial,benefit,"The study showed significant improvements in romantic stress scores, indicating a benefit from the intervention.",12.8 mg b.i.d. 6 weeks (Griffonia simplicifolia extract),,,psychological suffering associated with unreciprocated romantic love,psychological suffering associated with unreciprocated romantic love; romantic stress,Tier 3,0.39,"Single small open-label, uncontrolled pilot (n=15) assessing self-reported romantic stress. While the outcome is symptom-based and relevant to stress, the study lacks a control group and blinding, and focuses on a narrow form of stress, limiting generalizability."
Alpha-GPC,,Cognitive Performance,,Cognitive & Neurological Function,manual_pair,"One randomized trial reported that acute supplementation with Alpha-GPC (doses of 315 mg and 630 mg) resulted in significant improvements in cognitive performance in healthy men, indicating a potential benefit for cognitive enhancement. However, the evidence is limited to a single study, and further research is needed to confirm these findings and assess long-term effects and safety.",0.7,39683633,2024,Acute Alpha-Glycerylphosphorylcholine Supplementation Enhances Cognitive Performance in Healthy Men.,randomized_controlled_trial,benefit,"The study found significant improvements in cognitive performance, indicating a benefit from Alpha-GPC supplementation.",630 mg single dose acute (GeniusPure®); 315 mg single dose acute (GeniusPure®),Men,,cognition enhancement,cognition enhancement; cognitive performance,Tier 2,0.62,"Randomized, double-blind, placebo-controlled crossover RCT in healthy men showed significant acute improvements on validated cognitive measures (Stroop) at two doses. However, the sample size was small (n=20), effects were acute (single-dose), and the population was limited to young, resistance-trained males, limiting generalizability and durability of effect. Thus, moderate human evidence."
Alpha-GPC,,Cardiac Recovery,,Performance & Recovery,manual_pair,"There is limited evidence suggesting that Alpha-GPC may have a beneficial effect on recovery of heart rate variability and blood pressure following exercise in overweight and obese women, based on a single study using a 1000 mg dose. Overall, the evidence is sparse and further research is needed to confirm these findings and assess long-term effects and safety.",0.7,36235623,2022,The Effects of Alpha-Glycerylphosphorylcholine on Heart Rate Variability and Hemodynamic Variables Following Sprint Interval Exercise in Overweight and Obese Women.,randomized_controlled_trial,benefit,"The study found that A-GPC consumption improved recovery of HRV and blood pressure after exercise, indicating a beneficial effect.",1000 mg single dose,Obese; Overweight; Women,,obesity,obesity; overweight,Tier 3,0.64,"Randomized, double-blind crossover trial (n=12) showing faster post-exercise recovery of HRV and blood pressure after a single 1000 mg dose of Alpha-GPC in overweight/obese women. While well-controlled, the sample is small and outcomes are surrogate (autonomic/hemodynamic recovery after exercise) rather than clinical cardiac recovery endpoints, and the indication ‘cardiac recovery’ is broader than the study’s specific context."
Alpha-GPC,,Athletic Performance,,Performance & Recovery,manual_pair,"Alpha-GPC supplementation has shown a benefit in improving exercise performance, specifically in peak power and time to fatigue, based on one randomized crossover trial that administered 300 mg daily for 7 days. However, the evidence is limited, as only one study supports this finding, and further research is needed to confirm its efficacy and safety in broader populations.",0.7,37229544,2023,"Effects of branched chain amino acids, l-citrulline, and alpha-glycerylphosphorylcholine supplementation on exercise performance in trained cyclists: a randomized crossover trial.",randomized_controlled_trial,benefit,"The study showed significant improvements in peak power and time to fatigue, indicating a benefit from the supplementation.","300 mg daily 7 days (supplement containing BCAAs, L-citrulline, and A-GPC)",Cycling,,athletic performance,athletic performance; exercise performance; fatigue,Tier 4,0.74,"Randomized, double-blind, crossover RCT in trained cyclists with direct performance outcomes showed benefit, but the intervention was a multi-ingredient supplement (BCAAs, L-citrulline, and alpha-GPC). Because the effect cannot be attributed to alpha-GPC alone, this provides indirect human evidence for alpha-GPC and athletic performance."
Alpha-GPC,,Increase Motivation,,"Energy, Mood, & Mental Health",manual_pair,"One randomized, placebo-controlled study reported that Alpha-GPC may increase motivation in healthy volunteers over a two-week period, suggesting a potential benefit. However, the evidence is limited to a single study, and further research is needed to confirm these findings and establish consistent dosing and safety profiles.",0.6,34207484,2021,"Alpha-Glycerylphosphorylcholine Increases Motivation in Healthy Volunteers: A Single-Blind, Randomized, Placebo-Controlled Human Study.",randomized_controlled_trial,benefit,"The study found a tendency to increase motivation, indicating a positive outcome direction.",two weeks,,,anxiety,anxiety; motivation,Tier 2,0.44,"Single-blind, randomized, placebo-controlled human study (n≈39) directly assessed motivation via self-reported KOKORO scale over two weeks. Results showed a trend with significant improvement mainly at night, indicating modest effects. Small sample, weak blinding, short duration, healthy volunteers, and subjective outcomes limit robustness but still constitute controlled human evidence relevant to the indication."
Apigenin,,Skin Aging Prevention,,"Skin, Hair, & Nails",manual_pair,"One study indicates that apigenin, when applied as a cream, may improve skin elasticity, reduce fine wrinkles, and enhance skin moisture, suggesting a beneficial effect on signs of skin aging. However, the evidence is limited to a single study, and further research is needed to confirm these findings and assess long-term safety and efficacy.",0.7,27279007,2016,Apigenin inhibits UVA-induced cytotoxicity in vitro and prevents signs of skin aging in vivo.,randomized_controlled_trial,benefit,"The study demonstrated that apigenin improved skin elasticity, reduced fine wrinkles, and enhanced skin moisture, indicating a beneficial effect on skin aging.",(cream),,,skin aging,skin aging,Tier 2,0.62,"Randomized controlled human trial of apigenin cream versus vehicle reported improvements in clinically relevant skin aging outcomes (elasticity, fine wrinkles, moisture, TEWL). These are major outcomes for the indication. However, key methodological details (sample size, blinding, duration) are not provided and the study appears modest in scale, so the evidence is moderate rather than strong. Outcomes reflect improvement/prevention of signs rather than long-term prevention of aging."
Ashwagandha,adverse events were mild and transient; epigastric discomfort; few mild and temporary adverse effects reported; increased urinary mercury levels observed after treatment; loose stools; mild to moderate adverse events reported; somnolence,Stress,,"Energy, Mood, & Mental Health",manual_pair,"Clinical evidence from four randomized, double-blind, placebo-controlled studies indicates that ashwagandha may be effective in reducing anxiety and stress levels. Reported doses range from 240 mg to 1000 mg of standardized extracts, with no studies indicating harm or lack of benefit. However, the overall quality of evidence remains limited to the studies presented, and further research may be necessary to confirm these findings.",0.9,37832082,2023,"A standardized Ashwagandha root extract alleviates stress, anxiety, and improves quality of life in healthy adults by modulating stress hormones: Results from a randomized, double-blind, placebo-controlled study.",randomized_controlled_trial,benefit,"The study demonstrated significant improvements in stress and anxiety levels, indicating a beneficial effect of Ashwagandha.",500 mg once daily 60 days (standardized Ashwagandha root extract),,,anxiety,anxiety; depression; energy levels; high stress; mental clarity; schizophrenia; sleep quality; stress,Tier 2,0.66,"Randomized, double-blind, placebo-controlled RCT with stress as a primary outcome (PSS, GAD-7) showed significant benefit. However, the sample size was small (n≈54 randomized, 50 completed) and it is a single study, so evidence is moderate rather than strong."
Ashwagandha,adverse events were mild and transient; epigastric discomfort; few mild and temporary adverse effects reported; increased urinary mercury levels observed after treatment; loose stools; mild to moderate adverse events reported; somnolence,Stress,,"Energy, Mood, & Mental Health",manual_pair,"Clinical evidence from four randomized, double-blind, placebo-controlled studies indicates that ashwagandha may be effective in reducing anxiety and stress levels. Reported doses range from 240 mg to 1000 mg of standardized extracts, with no studies indicating harm or lack of benefit. However, the overall quality of evidence remains limited to the studies presented, and further research may be necessary to confirm these findings.",0.9,35984870,2022,"The Perceived Impact of Ashwagandha on Stress, Sleep Quality, Energy, and Mental Clarity for College Students: Qualitative Analysis of a Double-Blind Randomized Control Trial.",randomized_controlled_trial,benefit,"The study demonstrated that ashwagandha improved perceived well-being in college students, indicating a beneficial outcome.",700 mg twice a day 30 days (full spectrum extract of ashwagandha root),,Sleep,anxiety,anxiety; depression; energy levels; high stress; mental clarity; schizophrenia; sleep quality; stress,Tier 3,0.48,"This is a double-blind randomized controlled trial, but the reported analysis is qualitative, focusing on perceived well-being and experiential outcomes rather than validated, quantitative stress measures. Sample size and methodological details are unclear, and outcomes appear exploratory. Thus, it provides preliminary human evidence for stress, short of robust primary quantitative endpoints."
Ashwagandha,adverse events were mild and transient; epigastric discomfort; few mild and temporary adverse effects reported; increased urinary mercury levels observed after treatment; loose stools; mild to moderate adverse events reported; somnolence,Stress,,"Energy, Mood, & Mental Health",manual_pair,"Clinical evidence from four randomized, double-blind, placebo-controlled studies indicates that ashwagandha may be effective in reducing anxiety and stress levels. Reported doses range from 240 mg to 1000 mg of standardized extracts, with no studies indicating harm or lack of benefit. However, the overall quality of evidence remains limited to the studies presented, and further research may be necessary to confirm these findings.",0.9,31517876,2019,"An investigation into the stress-relieving and pharmacological actions of an ashwagandha (Withania somnifera) extract: A randomized, double-blind, placebo-controlled study.",randomized_controlled_trial,benefit,"The study showed significant reductions in anxiety and stress levels, indicating a benefit from ashwagandha supplementation.",240 mg once daily 60 days (standardized extract),,,anxiety,anxiety; depression; energy levels; high stress; mental clarity; schizophrenia; sleep quality; stress,Tier 2,0.6,"Randomized, double-blind, placebo-controlled RCT in stressed adults (n=60) using 240 mg/day standardized ashwagandha for 60 days. Methods are solid but sample size is modest. Clinically relevant stress/anxiety outcomes were assessed; anxiety (HAM-A) improved significantly, while the DASS-21 (which includes stress) showed only a near-significant trend. Physiologic HPA-axis markers improved. Overall, this constitutes moderate human evidence for stress, but not strong due to size and borderline stress-specific results."
Ashwagandha,adverse events were mild and transient; epigastric discomfort; few mild and temporary adverse effects reported; increased urinary mercury levels observed after treatment; loose stools; mild to moderate adverse events reported; somnolence,Stress,,"Energy, Mood, & Mental Health",manual_pair,"Clinical evidence from four randomized, double-blind, placebo-controlled studies indicates that ashwagandha may be effective in reducing anxiety and stress levels. Reported doses range from 240 mg to 1000 mg of standardized extracts, with no studies indicating harm or lack of benefit. However, the overall quality of evidence remains limited to the studies presented, and further research may be necessary to confirm these findings.",0.9,31046033,2019,"Effects of a standardized extract of Withania somnifera (Ashwagandha) on depression and anxiety symptoms in persons with schizophrenia participating in a randomized, placebo-controlled clinical trial.",randomized_controlled_trial,benefit,The study shows a medium effect size indicating a benefit in reducing depression and anxiety symptoms in patients with schizophrenia.,1000 mg 12 weeks (standardized extract),Schizophrenia,,anxiety,anxiety; depression; energy levels; high stress; mental clarity; schizophrenia; sleep quality; stress,Tier 5,0.8,"This RCT examined adjunctive ashwagandha for depression and anxiety symptoms in schizophrenia using PANSS subscores; it did not assess stress (e.g., perceived stress) and the population/endpoint are not aligned with the indication of stress. As such, it does not provide direct evidence for stress."
Ashwagandha,adverse events were mild and transient; epigastric discomfort; few mild and temporary adverse effects reported; increased urinary mercury levels observed after treatment; loose stools; mild to moderate adverse events reported; somnolence,Menopause Symptoms,,Women's Health,manual_pair,"One randomized, double-blind, placebo-controlled study found that ashwagandha (300 mg twice daily for 8 weeks) significantly improved climacteric symptoms and quality of life in perimenopausal women. No studies reported mixed results or harm, but the overall evidence is limited to a single trial, indicating a need for further research to confirm these findings.",0.7,34553463,2021,"Effect of an ashwagandha (Withania Somnifera) root extract on climacteric symptoms in women during perimenopause: A randomized, double-blind, placebo-controlled study.",randomized_controlled_trial,benefit,"The study showed significant improvements in climacteric symptoms and quality of life, indicating a beneficial effect of ashwagandha.",300 mg twice daily 8 weeks (root extract),Menopause; Women,,climacteric symptoms,climacteric symptoms; perimenopause,Tier 1,0.8,"Randomized, double-blind, placebo-controlled RCT (n=100; 91 completers) in perimenopausal women showed significant improvements in validated clinical scales for climacteric/menopause symptoms (MRS, MENQoL) and hot flashes over 8 weeks with ashwagandha root extract 300 mg twice daily. Outcomes were primary, clinically meaningful, and the study methods and size are adequate. Confidence is slightly tempered by the single short-duration study and focus on perimenopause specifically."
Ashwagandha,adverse events were mild and transient; epigastric discomfort; few mild and temporary adverse effects reported; increased urinary mercury levels observed after treatment; loose stools; mild to moderate adverse events reported; somnolence,Cognitive Performance,,Cognitive & Neurological Function,manual_pair,"One randomized trial indicates that ashwagandha supplementation (225 mg daily for 30 days) may improve cognitive function and mood in individuals with cognitive impairment. However, the evidence is limited to a single study, and further research is needed to confirm these findings and assess long-term effects and safety.",0.8,38931168,2024,Acute and Repeated Ashwagandha Supplementation Improves Markers of Cognitive Function and Mood.,randomized_controlled_trial,benefit,"The study shows that ashwagandha supplementation improves cognitive function and mood, indicating a beneficial outcome.",225 mg daily 30 days (liposomal ashwagandha root and leaf extract),,"Energy, Mood, & Mental Health",cognitive function,cognitive function; fatigue; mood; stress; tension,Tier 2,0.64,"Randomized, double-blind, placebo-controlled trial in healthy adults directly tested cognitive performance and showed benefits. However, the sample size (n≈59) is modest, outcomes span multiple cognitive subtests (risk of multiplicity), and the trial was retrospectively registered, lowering methodological robustness. Overall, moderate human evidence for cognitive performance."
Ashwagandha,adverse events were mild and transient; epigastric discomfort; few mild and temporary adverse effects reported; increased urinary mercury levels observed after treatment; loose stools; mild to moderate adverse events reported; somnolence,Weight Loss,,Weight & Body Composition,manual_pair,"One randomized controlled trial reported a beneficial effect of ashwagandha (300 mg twice daily for 8 weeks) on body weight management in adults under chronic stress. However, the evidence is limited to a single study, and further research is needed to confirm these findings and assess long-term effects and safety.",0.7,27055824,2017,"Body Weight Management in Adults Under Chronic Stress Through Treatment With Ashwagandha Root Extract: A Double-Blind, Randomized, Placebo-Controlled Trial.",randomized_controlled_trial,benefit,"The study reports significant improvements in body weight management and stress-related measures, indicating a beneficial outcome.",300 mg twice daily 8 weeks (root extract),,,body weight management,body weight management; chronic stress,Tier 2,0.63,"A double-blind, randomized, placebo-controlled trial (n=52) reported beneficial effects on body weight/BMI, but weight outcomes were secondary (primary outcomes were stress and food cravings). The study was small and short (8 weeks) and focused on adults under chronic stress. This supports moderate human evidence for weight loss, not strong primary evidence."
